case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-001,"PC-1 in VLAN 10 gets an IP (192.168.10.15) but cannot ping Server-1 (192.168.30.50) in VLAN 30. Local gateway ping succeeds.","Switch-1 connected to Router-1 via GigabitEthernet0/0/1 (ROUTER-ON-A-STICK). PC-1 connected to Switch-1 Fa0/1.","Switch-1# show interfaces trunk | Fa0/24 auto 802.1q trunking 1 | Vlans allowed on trunk: 1-10,20 | Router-1 subinterfaces .10 and .30 UP","VLAN 30 is missing from allowed list on trunk interface Fa0/24 on Switch-1.",Layer 2,VLAN & Trunking,High
NET-002,"PC-2 connected to Switch-2 interface Fa0/5 has no network connectivity and stays in APIPA address range (169.254.x.x).","PC-2 intended for Accounting VLAN 20. Switch-2 Fa0/5 configured for host.","Switch-2 Fa0/5 switchport access vlan 99 | show vlan brief shows vlan 99 active on Fa0/5","Access port Fa0/5 is assigned to blackhole VLAN 99 instead of Accounting VLAN 20.",Layer 2,VLAN & Trunking,Medium
NET-003,"Inter-switch trunk between Switch-A and Switch-B flaps continuously and CDP reports Native VLAN mismatch error.","Switch-A Fa0/24 connected to Switch-B Fa0/24. Trunking link.","Switch-A Native VLAN 10 | Switch-B Native VLAN 20","Native VLAN mismatch: Switch-A is set to VLAN 10 while Switch-B is set to VLAN 20 on trunk link Fa0/24.",Layer 2,VLAN & Trunking,High
NET-004,"Dynamic trunk negotiation failed between Switch-X and Switch-Y; interface remains in access mode.","Direct ethernet link between Switch-X Gi0/1 and Switch-Y Gi0/1.","Switch-X Admin Mode: dynamic auto | Switch-Y Admin Mode: dynamic auto","Both ends of the link are set to 'dynamic auto'. DTP requires at least one end set to 'dynamic desirable' or explicit 'trunk'.",Layer 2,VLAN & Trunking,Medium
NET-005,"VLAN 40 traffic does not cross core switches despite trunk link active.","Core-SW1 and Core-SW2 linked via Port-Channel 1.","Core-SW1 show vlan brief missing VLAN 40 | show interfaces trunk Po1 allowed 1,10,20","VLAN 40 has not been created in the VLAN database on Core-SW1.",Layer 2,VLAN & Trunking,Medium
NET-006,"PC-3 has IP 10.1.10.45/24 but cannot communicate with PC-4 (10.1.10.130/24) on the same VLAN and switch.","Both PCs connected to Access-SW1 in VLAN 10.","PC-3: 10.1.10.45 255.255.255.0 | PC-4: 10.1.10.130 255.255.255.128","Subnet mask mismatch on PC-4 (255.255.255.128 restricts host range to .128-.254, placing PC-3 outside its local subnet).",Layer 3,IP & Gateway,High
NET-007,"PC-5 can ping local subnet devices but cannot access external internet or other subnets.","PC-5 IP is 192.168.1.50/24. Router LAN interface is 192.168.1.1.","PC-5 Default Gateway: 192.168.1.254 | Router-HQ Gi0/0/0: 192.168.1.1","Misconfigured Default Gateway on PC-5 (set to 192.168.1.254 instead of Router interface 192.168.1.1).",Layer 3,IP & Gateway,High
NET-008,"Duplicate IP address alert on PC-6; intermittent network dropouts on server subnet.","Static assignment on Printer-1 and DHCP pool assignment on Router-1.","DHCP binding leased 192.168.5.10 | Printer static IP 192.168.5.10 | No ip dhcp excluded-address","Static IP 192.168.5.10 was assigned to Printer-1 without being excluded from the DHCP pool via 'ip dhcp excluded-address'.",Layer 3,IP & Gateway,High
NET-009,"VLAN 50 subinterface is down; clients in VLAN 50 cannot reach default gateway.","Router-1 handling inter-VLAN routing via subinterfaces on Gi0/0/0.","Router-1 Gi0/0/0 status: administratively down down","Physical interface GigabitEthernet0/0/0 is administratively down (missing 'no shutdown' command).",Layer 1/2,IP & Gateway,Critical
NET-0010,"Subinterface encapsulation error; router drops VLAN 15 tagged frames.","Router-1 Gi0/0/1.15 connected to Switch trunk.","GigabitEthernet0/0/1.15 ip address 10.15.0.1 255.255.255.0 | missing encapsulation dot1Q","Missing 'encapsulation dot1Q 15' command on subinterface GigabitEthernet0/0/1.15.",Layer 2/3,IP & Gateway,High
NET-0011,"DHCP clients on remote subnet (VLAN 20) fail to receive IP addresses from central DHCP server.","Client on Switch-Access VLAN 20. DHCP Server connected to Router-Core.","GigabitEthernet0/0/0.20 ip address 172.20.0.1 | ip helper-address is absent","Missing 'ip helper-address <DHCP_Server_IP>' on subinterface GigabitEthernet0/0/0.20 to relay DHCP requests.",Layer 3/7,DHCP & DNS,High
NET-0012,"DHCP pool exhausted; new laptops cannot obtain IP address on Wi-Fi network.","Router-WIFI running DHCP server for guest subnet 192.168.100.0/28.","Pool GUEST_POOL utilization 100% | total addresses 14 leased 14","DHCP subnet mask is too restrictive (/28 allowing only 14 usable hosts) resulting in pool exhaustion.",Layer 3/7,DHCP & DNS,Medium
NET-0013,"Clients receive IP via DHCP but cannot resolve domain names (e.g. cisco.lab). IP access works.","DHCP Server running on Router-HQ.","DHCP pool dns-server 10.0.254.254 | Route to 10.0.254.254 Not in table | DNS Server real IP: 10.0.100.53","Misconfigured DNS server IP (10.0.254.254) in DHCP pool options; actual DNS server IP is 10.0.100.53.",Layer 7,DHCP & DNS,Medium
NET-0014,"DHCP service not responding to broadcast requests anywhere in the branch router.","Router-Branch configured with DHCP pools.","Router-Branch running-config contains 'no service dhcp'","DHCP service is explicitly disabled via 'no service dhcp' in router global configuration.",Layer 7,DHCP & DNS,High
NET-0015,"Branch office PCs cannot access HQ servers or Internet; ping to local gateway works.","Branch-R1 connected to ISP/HQ-R1 via Serial0/1/0.","Branch-R1 show ip route: Gateway of last resort is not set","Missing default static route ('ip route 0.0.0.0 0.0.0.0 Serial0/1/0' or next-hop IP) on Branch-R1.",Layer 3,Routing,Critical
NET-0016,"OSPF neighbor adjacency fails to form between Router-A and Router-B over WAN link.","Router-A Gi0/0/0 (10.0.0.1/30) connected to Router-B Gi0/0/0 (10.0.0.2/30).","Router-A Gi0/0/0 Area ID 0.0.0.0 | Router-B Gi0/0/0 Area ID 0.0.0.1","OSPF Area ID mismatch: Router-A interface is in Area 0 while Router-B interface is in Area 1.",Layer 3,Routing,High
NET-0017,"OSPF neighbor state stuck in INIT/EXSTART between R-East and R-West.","GigabitEthernet connection between R-East and R-West.","R-East Hello 10 Dead 40 | R-West Hello 20 Dead 80","OSPF Hello/Dead timer mismatch (R-East Hello=10s vs R-West Hello=20s).",Layer 3,Routing,High
NET-0018,"EIGRP routes are not advertised between HQ-R1 and Branch-R2.","HQ-R1 and Branch-R2 running EIGRP for routing updates.","HQ-R1 router eigrp 100 | Branch-R2 router eigrp 200","EIGRP Autonomous System (AS) number mismatch: HQ-R1 uses AS 100 while Branch-R2 uses AS 200.",Layer 3,Routing,High
NET-0019,"OSPF enabled on Router-3, but neighbor router receives no OSPF LSAs from Gi0/0/1 link.","Router-3 Gi0/0/1 connects to Core-Switch.","Router-3 passive-interface GigabitEthernet0/0/1 under router ospf 1","Interface GigabitEthernet0/0/1 is set as passive-interface, suppressing OSPF hello packets on routing link.",Layer 3,Routing,Medium
NET-0020,"Static route configured on Router-X for 172.16.0.0/16 is ignored in favor of unexpected path.","Router-X has static route and OSPF route to destination.","ip route 172.16.0.0 255.255.0.0 10.0.0.2 130 | Active route via OSPF distance 110","The static route was assigned a floating administrative distance of 130, which is higher than OSPF (110).",Layer 3,Routing,Medium
